RECEIPTS APRIL 2024,,,,,,,,,,,,,,,,
DATE,WHOUSE,GRN #,INVOICE #,ITEM CODE,ITEM  DESCRIPTION,UOM, QUANTITY ,LOT NUMBER,MFG. DATE,EXPIRY DATE,MANUFACTURER,UNIT PRICE, TOTAL PRICE ,SUPPLIER,CONTRACT/LPO #,COMMENT
4/15/2024,NPW,G13164,116,HH077700,"Glove disposable powdered latex ,medium,100",100, 2 ,4516,08-2022,08-2027,ONE MEDIC, 4.50 , 9.00 ,A.M.E.S,CMST001908,POSTED
4/15/2024,NPW,G13164,116,HH077700,"Glove disposable powdered latex ,medium,100",100, 8 ,7598,01-2023,01-2028,ONE MEDIC, 4.50 , 36.00 ,A.M.E.S,CMST001908,POSTED
4/15/2024,NPW,G13164,116,HH077700,"Glove disposable powdered latex ,medium,100",100," 6,840 ",6843,01-2024,01-2029,ONE MEDIC, 4.50 ," 30,780.00 ",A.M.E.S,CMST001908,POSTED
4/15/2024,NPW,G13165,DN 505,HH077700,"Glove disposable powdered latex ,medium,100",100, 500 ,2525,,09-2028,NEOMEDIC, 4.50 ," 2,250.00 ",Glad Investments,CMST001904,POSTED
4/15/2024,NPW,G13166,INV 290,FF007800,"Cotton wool,500g,EACH",EACH," 10,875 ",AS2023129,11-2023,10-2028,NEOMEDIC," 3,400.00 "," 36,975,000.00 ",GLAD INVESTMENTS,CMST001851,POSTED
4/15/2024,NPW,G13167,INV 211,MM192300,Pregnancy Rapid TKit-HuM-Chorionic Gonado,100, 24 ,HD-SBPT23-006,07-2023,06-2025,HEMODIAZ," 4,000.00 "," 96,000.00 ",Charkam Investments,CMST001849,POSTED
4/15/2024,NPW,G13167,INV 211,FF007800,"Cotton wool,500g,EACH",EACH," 12,000 ",AS2023129,11-2023,10-2028,ONE MEDIC," 3,400.00 "," 40,800,000.00 ",Charkam Investments,CMST001849,POSTED
4/17/2024,NPW,G13180,120,HH077700,"Glove disposable powdered latex ,medium,100",100, 150 ,6843,01-2024,01-2029,ONEGLOVES, 4.50 , 675.00 ,A.M.E.S,CMST001908,POSTED
4/10/2024,NPW,G13190,INV2324-924,AA004800,"Amoxycillin,250mg,capsule,1000",1000, 257 ,2439045,03-2024,02-2026,CROWN," 40,000.00 "," 10,280,000.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001872,POSTED
4/10/2024,NPW,G13190,INV2324-924,AA004800,"Amoxycillin,250mg,capsule,1000",1000, 398 ,2439059,03-2024,02-2026,CROWN," 40,000.00 "," 15,920,000.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001872,POSTED
4/10/2024,NPW,G13190,INV2324-924,AA004800,"Amoxycillin,250mg,capsule,1000",1000, 398 ,2439058,03-2024,02-2026,CROWN," 40,000.00 "," 15,920,000.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001872,POSTED
4/10/2024,NPW,G13190,INV2324-924,AA004800,"Amoxycillin,250mg,capsule,1000",1000, 398 ,2439057,03-2024,02-2026,CROWN," 40,000.00 "," 15,920,000.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001872,POSTED
4/10/2024,NPW,G13190,INV2324-924,AA004800,"Amoxycillin,250mg,capsule,1000",1000, 398 ,2439056,03-2024,02-2026,CROWN," 40,000.00 "," 15,920,000.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001872,POSTED
4/10/2024,NPW,G13190,INV2324-924,AA004800,"Amoxycillin,250mg,capsule,1000",1000, 398 ,2439055,03-2024,02-2026,CROWN," 40,000.00 "," 15,920,000.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001872,POSTED
4/10/2024,NPW,G13190,INV2324-924,AA004800,"Amoxycillin,250mg,capsule,1000",1000, 48 ,2439054,03-2024,02-2026,CROWN," 40,000.00 "," 1,920,000.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001872,POSTED
4/10/2024,NPW,G13190,INV2324-924,AA004800,"Amoxycillin,250mg,capsule,1000",1000, 10 ,2339026,10-2023,09-2025,CROWN," 40,000.00 "," 400,000.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001872,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 96 ,2404095,04-2024,03-2027,CROWN," 11,730.00 "," 1,126,080.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 992 ,2404094,04-2024,03-2027,CROWN," 11,730.00 "," 11,636,160.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 992 ,2404093,04-2024,03-2027,CROWN," 11,730.00 "," 11,636,160.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 991 ,2404092,04-2024,03-2027,CROWN," 11,730.00 "," 11,624,430.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 992 ,2404091,04-2024,03-2027,CROWN," 11,730.00 "," 11,636,160.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 992 ,2404090,04-2024,03-2027,CROWN," 11,730.00 "," 11,636,160.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 992 ,2404089,04-2024,03-2027,CROWN," 11,730.00 "," 11,636,160.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 992 ,2404088,04-2024,03-2027,CROWN," 11,730.00 "," 11,636,160.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 992 ,2404087,04-2024,03-2027,CROWN," 11,730.00 "," 11,636,160.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 992 ,2404086,04-2024,03-2027,CROWN," 11,730.00 "," 11,636,160.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 992 ,2404085,04-2024,03-2027,CROWN," 11,730.00 "," 11,636,160.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
