No.,Description,Base Unit of Measure,Unit Cost,Unit Price
BB021050,Denosumab 500mg,EACH,0,0
BB021300,"Dexamethasone sodium phosphate,4mg/ml,1ml,Each",EACH,98.29533,119.87235
BB021301,"Dexamethasone Injection,5mg/2ml,2ml,Each",EACH,0,0
BB021400,"Dexamethasone Injection 4mg/1ml, 2ml",EACH,247.5,301.82927
BB021600,"Dextrose (glucose),5%,1000ml,Each",EACH,1980,2414.63415
BB021900,"Dextrose (glucose),5%,100ml,Each",EACH,0,0
BB022200,"Dextrose (glucose),5%,500ml,Each",EACH,1260,1536.58537
BB022500,"Dextrose,50%,500ml,Each",EACH,0,0
BB022800,"Dextrose,50%,50ml,Each",EACH,905.22002,1103.92685
BB023100,Dianeal + Dextrose 1.5% intraperitoneal dialysis,EACH,0,0
BB023400,Dianeal + Dextrose 2.5% intraperitoneal dialysis,EACH,0,0
BB023700,Dianeal + Dextrose 4.5% intraperitoneal dialysis,EACH,0,0
BB023710,Denosumab 500mg,EACH,0,0
BB024000,"Diazepam,5mg/ml,2ml,Each",EACH,225.52164,275.02639
BB024300,"Diclofenac sodium,75mg/3ml,3ml,Each",EACH,100.80001,122.92684
BB024400,"Diclofenac sodium 75mg/ml, 1ml",EACH,0,0
BB024600,"Digoxin,250,micrograms/ml,2ml,Each",EACH,2590.6235,3159.29695
BB024900,"Dobutamine,250mg/20ml,20ml,Each",EACH,3298.2679,4022.27793
BB025200,"Docetaxel concentrate,80mg/2ml",EACH,41508.11479,50619.65218
BB025500,"Docetaxel concentrate, 20mg/0.5ml PFR- solvent",EACH,0,0
BB025800,"Docetaxel, Concentrate, 120mg/3ml PFR-solvent",EACH,28980.96561,35342.64099
BB025801,Docetaxel concentrate 120mg/2ml PFR-solvent,EACH,0,0
BB026100,"Dopamine,40mg/ml,5ml,Each",EACH,643.69738,784.9968
BB026400,"Doxorubicin,50mg,vial,Each",EACH,5819.25546,7096.653
BB026700,"Doxorubicin Hydrochloride,10mg,PFR,Each",EACH,0,0
BB027000,"Doxorubicin Hydrochloride,10mg/5ml,Each",EACH,1259.72727,1536.25277
BB027300,"Doxorubicin Hydrochloride,20mg,PFR,Each",EACH,33414.15,40748.96341
BB027600,"Doxorubicin Hydrochloride,50mg,PFR,Each",EACH,4452.3875,5429.74085
BB027900,"Doxorubicin Hydrochloride,50mg/25ml,Each",EACH,0,0
BB028200,"Enoxaparin,100mg/ml3ml,Each",EACH,3585.76471,4372.88379
BB028500,"Ephedrine sulphate,30mg/ml,1ml,Each",EACH,1028.9451,1254.8111
BB028800,Epirubicin Hydrochloride for Injection 10mg,EACH,0,0
BB029100,"Epirubicin Hydrochloride for Injection,50mg,Each",EACH,14769.4611,18011.53793
BB029400,"Erythropoietin,(4000IU),Each",EACH,4903.15441,5979.4566
BB029700,"Erythropoietin 10,000IU",EACH,0,0
BB030000,Erythropoietin 2000IU,EACH,0,0
BB030300,"Erythropoietin 4,000IU",EACH,0,0
BB030600,"Etomidate,2mg/ml,10ml,Each",EACH,4587.19,5594.13415
BB030900,"Etoposide,100mg/5ml,5ml,Each",EACH,2694.24844,3285.66883
